skill_id,skill_name,category,trigger_keywords,description,sample_user_queries,response_action,data_required,escalation_contact
emergency_triage,Emergency Symptom Detection,Safety-Critical,"chest pain,heart attack,breathing,breath,suffocating,unconscious,passed out,bleeding heavily,severe bleed,poison,stroke,numbness one side,speech slur,suicidal","Detect life-threatening symptoms and immediately direct the user to emergency care instead of general guidance.","I have chest pain | I can't breathe | I think I'm having a stroke | My friend is unconscious","Classify urgency as High, display critical warning, instruct user to go to nearest 24/7 emergency room immediately, call ambulance/emergency number, do not travel alone; explicitly state the bot cannot diagnose or treat emergencies.","User's location (for nearest ER), description of symptom onset","Nearest 24/7 ER (e.g. Ridge Regional Hospital, St. Jude General Hospital) / local emergency number"
headache_guidance,Headache Self-Care Guidance,Symptom Guidance,"headache","Provide preliminary self-care guidance for non-emergency headaches, with escalation criteria for red flags.","I have a headache | My head hurts","Suggest hydration, rest in dark/quiet room, cold/warm compress, relaxation techniques; flag that sudden severe 'worst headache of life' with fever, neck stiffness, confusion, or slurred speech needs immediate care.","None required; optional symptom duration/severity","Nearby clinic/pharmacy if symptoms persist or worsen"
clinic_finder,Find Nearby Clinics / Hospitals,Healthcare Access,"find nearby clinics,clinic,hospital","Help the user locate nearby verified healthcare facilities based on their location.","Find a clinic near me | Where's the nearest hospital? | I need a doctor","List nearby clinics/hospitals with distance and specialty (e.g. 24/7 emergency, outpatient, rapid testing), offer to open interactive Clinics Map Directory to filter by distance/rating/emergency status.","User's current location","N/A - self-service directory"
hypertension_education,Hypertension Education,Health Education,"hypertension,high blood pressure","Educate the user on hypertension: what it is, why it's dangerous, causes, and initial management.","What is hypertension? | Tell me about high blood pressure","Explain hypertension as a 'silent' chronic condition, list common causes (diet, inactivity, stress, smoking, genetics, obesity), suggest DASH-style diet, daily walking, and regular BP checks; offer full article and a BP-check reminder.","None","Clinic for BP monitoring / GP for diagnosis and treatment"
pregnancy_care_guidance,Pregnancy / Prenatal Care Guidance,Health Education,"pregnancy,pregnant","Provide prenatal care guidance and flag urgent warning signs during pregnancy.","I'm pregnant, what should I do? | Pregnancy care tips","Recommend folic acid/iron supplements, balanced nutrition, early prenatal clinic registration, adequate rest; list urgent signs (bleeding, severe cramping, continuous headaches, blurred vision) requiring immediate OB-GYN or maternity ER visit.","None; optional trimester/stage of pregnancy","OB-GYN or nearest maternity emergency department (for urgent signs)"
malaria_guidance,Malaria Information & Guidance,Symptom Guidance,"malaria","Educate the user on malaria symptoms, testing, treatment, and prevention.","I think I have malaria | What are malaria symptoms?","Explain malaria transmission and symptoms, advise getting a Rapid Diagnostic Test rather than self-medicating, follow prescribed ACT therapy if positive, rehydrate; recommend insecticide-treated nets and removing stagnant water for prevention.","None","Clinic/pharmacy offering RDT (Rapid Diagnostic Test)"
general_symptom_triage,General Symptom Triage (Fallback),Symptom Guidance,"fever,vomiting,diarrhea,coughing,burn,sprain,broken bone,fracture,dog bite,infection,stomach ache,abdominal pain,abdominal,severe headache","Provide general Medium/Low urgency guidance for symptoms not covered by a specific dedicated skill.","I have a fever and vomiting | My stomach hurts | I got a dog bite","Classify urgency (Medium/Low) based on keyword match, advise monitoring symptoms, symptomatic relief (rest, fluids), avoid self-prescribing antibiotics/antimalarials, consult a GP if symptoms persist 24-48 hrs; offer clinics directory or education library.","Description of symptoms, duration","GP / nearby clinic if symptoms persist or worsen"
ai_dynamic_health_guidance,AI-Generated Health Guidance (Gemini),Core AI Engine,"(fallback for any message not matched by offline trees, when API key is configured)","Primary online path: sends user message + conversation history to Gemini model (gemini-2.5-flash) for a structured, context-aware healthcare guidance response.","Any free-form health question not covered by fixed offline scripts","Call Gemini API with system prompt enforcing safety rules; return structured JSON (urgency, title, response, followUpQuestions, recommendations, suggestedActions); format into chat reply with numbered recommendations and follow-up questions.","User message, conversation history, valid Gemini API key","Falls back to offline diagnostic trees or 'Service Temporarily Unavailable' message on API failure"
api_fallback_notice,API Unavailable Fallback,System/Reliability,"(triggered automatically on API error, missing key, rate limit after retries, or server error)","Inform the user gracefully when the AI backend is unreachable, and redirect to safe alternatives.","(system-triggered, not a user phrase)","Return Medium urgency 'Service Temporarily Unavailable' message; recommend verifying API key config, restarting dev server (for devs), or using the Nearby Clinics panel; retries failed requests up to 3x with exponential backoff for rate-limit/server errors first.","None (system-level)","Nearby Clinics search panel"
safety_guardrails,Safety & Scope Guardrails,Safety-Critical,"(applies across all skills, not a standalone trigger)","Cross-cutting rules the AI must always follow, regardless of which skill/topic is active.","(implicit in every interaction)","Never diagnose a specific disease, never prescribe medication dosages, never claim certainty, always encourage professional care for serious symptoms, use simple beginner-friendly language, always classify urgency (Low/Medium/High).","None","N/A - governs all other skills"
